,motion,device,condition,value
119,upper,on,右方向-往路,0.20419382874402153
120,upper,off,右方向-往路,1.8730759260105214
121,upper,off,右方向-往路,2.036619913242597
122,upper,off,右方向-往路,2.3018022363461093
123,upper,off,右方向-往路,2.0615814559737853
124,upper,off,右方向-往路,2.672732657186287
125,upper,off,右方向-往路,0.47510504780609636
126,upper,off,右方向-往路,0.2864217246946969
127,upper,off,右方向-往路,0.13708687332479885
128,upper,off,右方向-往路,-0.03893470488938696
129,upper,off,右方向-往路,-0.30468781119643024
130,upper,off,右方向-往路,0.3485162736012515
131,upper,off,右方向-往路,-0.20315992393498455
132,upper,off,右方向-往路,0.615474363633609
133,upper,off,右方向-往路,0.7438702736352661
134,upper,off,右方向-往路,1.0272727700752873
135,upper,off,右方向-往路,-0.40944280740507794
136,upper,off,右方向-往路,-0.2807517686427049
137,upper,off,右方向-往路,-0.6400986820897705
138,upper,off,右方向-往路,-0.3731031980150032
139,upper,off,右方向-往路,0.2945118415006719
140,upper,off,右方向-往路,0.8578054020496264
141,upper,off,右方向-往路,0.9328181967702515
142,upper,off,右方向-往路,1.6114262089137639
143,upper,off,右方向-往路,1.717755183283125
144,upper,off,右方向-往路,0.5447170703268721
145,upper,off,右方向-往路,0.09933771182418004
146,upper,off,右方向-往路,-0.3427179959740231
147,upper,off,右方向-往路,-0.36137671859371406
148,upper,off,右方向-往路,-0.34319712857624673
149,upper,off,右方向-往路,-0.45631124557831704
150,upper,off,右方向-往路,3.668598418174642
151,upper,off,右方向-往路,3.740016702709416
152,upper,off,右方向-往路,3.6736381614807567
153,upper,off,右方向-往路,3.673600408471397
154,upper,off,右方向-往路,3.4641867362598266
155,upper,off,右方向-往路,2.074373469628635
156,upper,off,右方向-往路,0.8240297764287182
157,upper,off,右方向-往路,-0.13483983150615594
158,upper,off,右方向-往路,0.017802650199156674
159,upper,off,右方向-往路,-0.34186515134699813
160,upper,off,右方向-往路,-0.47562797744852725
161,upper,off,右方向-往路,-0.4187214031336163
162,upper,off,右方向-往路,-0.412882207282446
163,upper,off,右方向-往路,-0.059369575897149474
164,upper,off,右方向-往路,-0.2440420223113837
165,upper,off,右方向-往路,0.7570029897925492
166,upper,off,右方向-往路,1.1433171105702253
167,upper,off,右方向-往路,1.875054454933202
168,upper,off,右方向-往路,2.752889126483056
169,upper,off,右方向-往路,2.8247564663249394
170,upper,off,右方向-往路,1.2802268188567278
171,upper,off,右方向-往路,0.4095684826275924
172,upper,off,右方向-往路,0.6391681363737992
173,upper,off,右方向-往路,0.3458193742651466
174,upper,off,右方向-往路,0.45050578162214683
175,upper,off,右方向-往路,1.470889252651985
176,upper,off,右方向-往路,1.5217163112169865
177,upper,off,右方向-往路,2.2005918422171655
178,upper,off,右方向-往路,2.9397473886557184
179,upper,off,右方向-往路,2.454220405443905
180,upper,off,右方向-往路,0.2691524580817748
181,upper,off,右方向-往路,0.06764334888410234
182,upper,off,右方向-往路,0.44026064647691887
183,upper,off,右方向-往路,-0.1152660836609415
184,upper,off,右方向-往路,0.06940904916906318
185,upper,off,右方向-往路,3.1677651296118943
186,upper,off,右方向-往路,2.686222931624476
187,upper,off,右方向-往路,2.8865035644848867
188,upper,off,右方向-往路,2.377667372271816
189,upper,off,右方向-往路,1.06466255053016
190,upper,off,右方向-往路,0.17291300216398325
191,upper,off,右方向-往路,-0.16404420244452786
192,upper,off,右方向-往路,-0.11565584734230173
193,upper,off,右方向-往路,-0.2169599341093716
194,upper,off,右方向-往路,-0.3523364808547615
195,upper,off,右方向-往路,1.9922384279099052
196,upper,off,右方向-往路,3.125648382025306
197,upper,off,右方向-往路,2.077296092191249
198,upper,off,右方向-往路,1.589506625996167
199,upper,off,右方向-往路,0.9619659873615664
200,upper,off,右方向-往路,-0.20022531273077193
201,upper,off,右方向-往路,-0.3622093333684959
202,upper,off,右方向-往路,0.027479728420957788
203,upper,off,右方向-往路,0.04485701661630589
204,upper,off,右方向-往路,-0.09359427199836066
205,upper,off,右方向-往路,1.2889907163306848
206,upper,off,右方向-往路,0.22827032595710534
207,upper,off,右方向-往路,2.276250121072892
208,upper,off,右方向-往路,1.8314861577165906
209,upper,off,右方向-往路,2.454054935210857
210,upper,off,右方向-往路,0.20570470323994758
211,upper,off,右方向-往路,-0.6786265482174629
212,upper,off,右方向-往路,-0.7102286291538071
213,upper,off,右方向-往路,-0.7968765176799809
214,upper,off,右方向-往路,-0.7384128208118204
215,upper,off,右方向-往路,1.6242535942570613
216,upper,off,右方向-往路,0.29044431124551673
217,upper,off,右方向-往路,0.3961895005742301
218,upper,off,右方向-往路,-0.9100393032828042
219,upper,off,右方向-往路,-0.7274221546887608
220,upper,off,右方向-往路,0.209624302824236
221,upper,off,右方向-往路,0.22087206742208648
222,upper,off,右方向-往路,0.9636301100880775
223,upper,off,右方向-往路,0.8062559832198171
224,upper,off,右方向-往路,0.463110364242804
225,upper,off,右方向-往路,-0.13191459866979838
226,upper,off,右方向-往路,0.17379647779881988
227,upper,off,右方向-往路,0.7831054563021479
228,upper,off,右方向-往路,0.4638417117331718
229,upper,off,右方向-往路,0.04621418145396491
230,upper,off,右方向-往路,-0.07115505844795435
231,upper,off,右方向-往路,1.482019221244652
232,upper,off,右方向-往路,-0.4590711922466431
233,upper,off,右方向-往路,-0.04411276449929029
234,upper,off,右方向-往路,-0.4529532915007565
235,upper,off,右方向-往路,1.4985775937125663
236,upper,off,右方向-往路,0.006552707632846699
237,upper,off,右方向-往路,0.18086029163996756
238,upper,off,右方向-往路,1.9080909006869804
239,upper,off,右方向-往路,0.09400928076402859
240,upper,on,右方向-復路,-0.6690312736398011
241,upper,on,右方向-復路,-0.9116714686090317
242,upper,on,右方向-復路,-0.870626438021441
243,upper,on,右方向-復路,-0.8067242741912779
244,upper,on,右方向-復路,-0.635683281677165
245,upper,on,右方向-復路,-0.10458611355102201
246,upper,on,右方向-復路,-0.35846089009900206
247,upper,on,右方向-復路,-0.6733827406801984
248,upper,on,右方向-復路,-0.4261938802913021
249,upper,on,右方向-復路,-0.1321441995064976
250,upper,on,右方向-復路,-0.25948892576870397
251,upper,on,右方向-復路,-0.761558252884127
252,upper,on,右方向-復路,-0.4169608771618724
253,upper,on,右方向-復路,-0.4290340736200191
254,upper,on,右方向-復路,-0.7224497646873381
255,upper,on,右方向-復路,-0.3015214373851595
256,upper,on,右方向-復路,0.39048970778644354
257,upper,on,右方向-復路,1.9164862354081043
258,upper,on,右方向-復路,-0.18598964826588305
259,upper,on,右方向-復路,-0.18490229341971337
260,upper,on,右方向-復路,-0.8249863031103712
261,upper,on,右方向-復路,-0.4580398970937434
262,upper,on,右方向-復路,-0.8802190157262638
263,upper,on,右方向-復路,-0.5981893368524029
264,upper,on,右方向-復路,-0.5641124536669025
265,upper,on,右方向-復路,-1.2606904805803063
266,upper,on,右方向-復路,-0.7454751941433648
267,upper,on,右方向-復路,-0.8062156575909941
268,upper,on,右方向-復路,-0.7573907402906409
269,upper,on,右方向-復路,-0.9015241773661111
270,upper,on,右方向-復路,-0.5148914830278417
271,upper,on,右方向-復路,-0.4522156239711833
272,upper,on,右方向-復路,-0.5363111559230677
273,upper,on,右方向-復路,-0.578749962005363
274,upper,on,右方向-復路,-0.8487545663512192
275,upper,on,右方向-復路,-1.0584930774802055
276,upper,on,右方向-復路,-0.4889190069510906
277,upper,on,右方向-復路,-0.7700857328978279
278,upper,on,右方向-復路,-0.5974380710826841
279,upper,on,右方向-復路,-1.4572774791272691
280,upper,on,右方向-復路,-0.7652551658180995
281,upper,on,右方向-復路,-0.7827091620029099
282,upper,on,右方向-復路,-0.676863772803052
283,upper,on,右方向-復路,-0.9161387721032739
284,upper,on,右方向-復路,-1.047312288295401
285,upper,on,右方向-復路,-1.0081139921455047
286,upper,on,右方向-復路,-1.3663332381658972
287,upper,on,右方向-復路,-1.0538732447208252
288,upper,on,右方向-復路,-0.9439737173210108
289,upper,on,右方向-復路,-1.548391332158667
290,upper,on,右方向-復路,-0.9960456237975541
291,upper,on,右方向-復路,-0.86798894641584
292,upper,on,右方向-復路,-1.0920190340060556
293,upper,on,右方向-復路,-0.9908560547818873
294,upper,on,右方向-復路,-1.327402006909763
295,upper,on,右方向-復路,-1.1219010675331325
296,upper,on,右方向-復路,-0.7821323030838487
297,upper,on,右方向-復路,-1.0477008992284043
298,upper,on,右方向-復路,-1.0156784228069362
299,upper,on,右方向-復路,-1.2341440244057091
300,upper,on,右方向-復路,-0.6198951561803145
301,upper,on,右方向-復路,-0.1283737923012763
302,upper,on,右方向-復路,-0.23745886502213132
303,upper,on,右方向-復路,-0.6271274653724297
304,upper,on,右方向-復路,-0.6838266664853943
305,upper,on,右方向-復路,-0.7237457578548827
306,upper,on,右方向-復路,-0.8013932911550952
307,upper,on,右方向-復路,-0.9732339492478853
308,upper,on,右方向-復路,-1.2234773698586878
309,upper,on,右方向-復路,-0.7032431672310911
310,upper,on,右方向-復路,-0.6457704260649964
311,upper,on,右方向-復路,-0.5401101194357365
312,upper,on,右方向-復路,-0.9490176861898866
313,upper,on,右方向-復路,-0.6467070041795197
314,upper,on,右方向-復路,-0.7194229940320402
315,upper,on,右方向-復路,-1.0520841092047577
316,upper,on,右方向-復路,-0.9601498006887679
317,upper,on,右方向-復路,-1.4252595218807658
318,upper,on,右方向-復路,-1.313104213157363
319,upper,on,右方向-復路,-1.1970123947153677
320,upper,on,右方向-復路,-0.7339087112837145
321,upper,on,右方向-復路,-0.5693876670617758
322,upper,on,右方向-復路,-0.5161345442399794
323,upper,on,右方向-復路,-0.5810586505784445
324,upper,on,右方向-復路,-0.21781478043227176
325,upper,on,右方向-復路,-1.116955751415086
326,upper,on,右方向-復路,-1.1213963112152994
327,upper,on,右方向-復路,-0.9529880944445616
328,upper,on,右方向-復路,-1.0318491056908183
329,upper,on,右方向-復路,-0.7180687308994695
330,upper,on,右方向-復路,-0.8846947900100292
331,upper,on,右方向-復路,-0.8391248448124415
332,upper,on,右方向-復路,-0.8307586158142507
333,upper,on,右方向-復路,0.17147436033834185
334,upper,on,右方向-復路,-0.7018423944291993
335,upper,on,右方向-復路,-0.8003879556878549
336,upper,on,右方向-復路,-0.7846967654832003
337,upper,on,右方向-復路,-0.6885040561867856
338,upper,on,右方向-復路,-0.6722720652290834
339,upper,on,右方向-復路,-0.7309042084834362
340,upper,on,右方向-復路,-1.1044560453392598
341,upper,on,右方向-復路,-1.0628311483922788
342,upper,on,右方向-復路,-0.4944513800899475
343,upper,on,右方向-復路,-0.8724198188241268
344,upper,on,右方向-復路,-1.0131070536755544
345,upper,on,右方向-復路,-1.031657678373781
346,upper,on,右方向-復路,-1.063131615466174
347,upper,on,右方向-復路,-0.5665505916954056
348,upper,on,右方向-復路,-0.9925308136848131
349,upper,on,右方向-復路,-0.7421472760821274
350,upper,on,右方向-復路,-0.7375470391387898
351,upper,on,右方向-復路,-1.4447400747733805
352,upper,on,右方向-復路,-0.8259022840825254
353,upper,on,右方向-復路,-1.3078757124037248
354,upper,on,右方向-復路,-1.16150033849866
355,upper,on,右方向-復路,-1.5001092201144581
356,upper,on,右方向-復路,-1.2198823994294743
357,upper,on,右方向-復路,-0.7585750354846036
358,upper,on,右方向-復路,-0.8828413259524814
359,upper,on,右方向-復路,-0.6912384004246892
360,upper,off,右方向-復路,-1.0287869981053992
361,upper,off,右方向-復路,-1.1501657025490974
362,upper,off,右方向-復路,-1.0089339148699523
363,upper,off,右方向-復路,-0.7806207214482844
364,upper,off,右方向-復路,-1.1275860047365434
365,upper,off,右方向-復路,-0.7734028277766664
366,upper,off,右方向-復路,-0.8342800209076118
367,upper,off,右方向-復路,-1.099868461159259
368,upper,off,右方向-復路,-0.4915437319641207
369,upper,off,右方向-復路,-0.867829146465453
370,upper,off,右方向-復路,-1.5445320514578664
371,upper,off,右方向-復路,-0.9003945983843925
372,upper,off,右方向-復路,-1.0019482807741469
373,upper,off,右方向-復路,-1.0430423169447647
374,upper,off,右方向-復路,-1.118439053084027
375,upper,off,右方向-復路,-0.4626756886221953
376,upper,off,右方向-復路,-0.6404091966072265
377,upper,off,右方向-復路,-0.705865080460393
378,upper,off,右方向-復路,-0.8055042229182379
379,upper,off,右方向-復路,-1.173172991980528
380,upper,off,右方向-復路,1.5009068254049165
381,upper,off,右方向-復路,-0.495187346416223
382,upper,off,右方向-復路,-0.08642294835943141
383,upper,off,右方向-復路,0.01802306266004888
384,upper,off,右方向-復路,-0.4333256046359723
385,upper,off,右方向-復路,-0.609353185274281
386,upper,off,右方向-復路,-0.8183026415082258
387,upper,off,右方向-復路,-0.5581161863493368
388,upper,off,右方向-復路,-0.5625020289375077
389,upper,off,右方向-復路,-0.7233155594541908
390,upper,off,右方向-復路,-0.423794776129898
391,upper,off,右方向-復路,-0.4530990762839749
392,upper,off,右方向-復路,-0.4390786245946576
393,upper,off,右方向-復路,-0.5778568309766505
